,anglePer,blockN,colorPer,correct,highDim,highDimCoh,irrDim,irrDimCoh,lineCoh,lineDir,angleOption,lowDim,lowDimCoh,response,rxtime,subj,isHighCorrect,isLowCorrect,lineOption,Unnamed: 19,rt,stim,subj_idx,cond,cond2
151,0.42,2,0.58,0,1,1,2,1,0.6,2,2,3,1,2,1.0498,1,1,0,2,,1.0498,13,0,111,11
152,0.7,2,0.3,1,1,1,2,2,0.6,2,1,3,2,3,3.2824,1,1,1,2,,3.2824,13,0,122,12
153,0.3,2,0.7,1,1,2,3,2,0.3,1,2,2,2,3,1.2665,1,1,1,1,,1.2665,12,0,222,22
154,0.3,2,0.58,1,1,2,3,2,0.3,1,2,2,1,3,1.4664,1,1,1,1,,1.4664,12,0,221,21
155,0.7,2,0.58,1,1,2,2,1,0.7,2,1,3,2,3,0.95,1,1,1,2,,0.95,13,0,212,22
156,0.3,2,0.58,0,1,2,2,1,0.7,2,2,3,2,1,1.483,1,0,1,2,,1.483,13,0,212,22
157,0.42,2,0.58,1,1,1,3,1,0.4,1,2,2,1,3,2.4827,1,1,1,1,,2.4827,12,0,111,11
158,0.7,2,0.7,1,1,1,3,2,0.4,1,1,2,2,3,1.2666,1,1,1,1,,1.2666,12,0,122,12
159,0.7,2,0.58,1,1,1,2,1,0.6,2,1,3,2,3,0.99976,1,1,1,2,,0.99976,13,0,112,12
160,0.42,2,0.3,1,1,1,3,1,0.4,1,2,2,2,3,1.1499,1,1,1,1,,1.1499,12,0,112,12
161,0.58,2,0.58,1,1,1,2,1,0.6,2,1,3,1,3,0.94989,1,1,1,2,,0.94989,13,0,111,11
162,0.42,2,0.58,0,1,2,2,1,0.7,2,2,3,1,2,1.2497,1,1,0,2,,1.2497,13,0,211,21
163,0.58,2,0.58,1,1,2,2,1,0.7,2,1,3,1,3,0.99964,1,1,1,2,,0.99964,13,0,211,21
164,0.7,2,0.42,1,1,1,2,1,0.6,2,1,3,2,3,1.0499,1,1,1,2,,1.0499,13,0,112,12
165,0.58,2,0.7,1,1,1,3,1,0.4,1,1,2,2,3,0.8995200000000001,1,1,1,1,,0.8995200000000001,12,0,112,12
166,0.58,2,0.3,1,1,2,3,1,0.3,1,1,2,2,3,1.0997,1,1,1,1,,1.0997,12,0,212,22
167,0.42,2,0.42,0,1,1,2,1,0.6,2,2,3,1,2,1.3331,1,1,0,2,,1.3331,13,0,111,11
168,0.7,2,0.58,1,1,1,3,2,0.4,1,1,2,1,3,0.74988,1,1,1,1,,0.74988,12,0,121,11
169,0.42,2,0.7,0,1,2,2,2,0.7,2,2,3,1,2,1.4497,1,1,0,2,,1.4497,13,0,221,21
